,age,gender,apps_used,apps_purposes,apps_conversations,conversations_in_person,app_ease,physical_ease,online_ease,covid_apps_more,covid_physical_more,covid_online_more
129,35-44,Man,"Tinder,Bumble,Plenty of Fish,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Occasionally,Occasionally,6,5,5,2.0,2.0,2
130,18-24,Woman,Grindr,"Finding long-term romantic or sexual relationships,Making friends,I have never used a dating app",Often,Often,5,5,5,4.0,6.0,7
131,45-54,Man,"Tinder,OKCupid,Grindr",Finding short-term romantic or sexual relationships,Occasionally,Often,5,3,5,2.0,2.0,2
132,18-24,Woman,Coffee & Bagel,Personal validation,Occasionally,Rarely,7,6,6,5.0,6.0,5
133,25-34,Woman,"Tinder,Plenty of Fish,OKCupid,Hinge","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",Occasionally,Rarely,5,6,4,3.0,1.0,7
134,35-44,Man,Match,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",Occasionally,Rarely,3,4,1,5.0,1.0,4
135,45-54,Man,"Bumble,Match,Plenty of Fish,OKCupid,Hinge","Finding long-term romantic or sexual relationships,Other",Occasionally,Never,1,2,2,2.0,2.0,2
136,18-24,Woman,Hinge,"Personal validation,Entertainment",Rarely,Never,3,2,3,2.0,1.0,5
137,35-44,Man,"Match,Plenty of Fish,OKCupid",Finding long-term romantic or sexual relationships,Occasionally,Occasionally,3,4,2,4.0,1.0,4
138,35-44,Man,"Tinder,Match","Finding short-term romantic or sexual relationships,Making friends",Often,Occasionally,7,5,5,7.0,3.0,6
139,35-44,Man,"Tinder,Match,Plenty of Fish,OKCupid",Finding long-term romantic or sexual relationships,Often,Occasionally,4,3,1,1.0,1.0,5
140,25-34,Woman,"Match,Plenty of Fish","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Rarely,Rarely,3,3,2,2.0,1.0,6
141,25-34,Woman,"Tinder,OKCupid,Hinge","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Personal validation,Entertainment",Occasionally,Occasionally,5,3,3,2.0,2.0,6
142,18-24,Man,Tinder,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",Occasionally,Rarely,5,4,5,5.0,5.0,4
143,35-44,Man,"Match,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Often,Occasionally,5,2,4,4.0,1.0,5
144,35-44,Man,"Tinder,Plenty of Fish,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Occasionally,Occasionally,5,6,3,4.0,2.0,2
145,25-34,Man,"Tinder,Hinge,Coffee & Bagel","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Occasionally,Occasionally,5,2,1,1.0,1.0,6
146,25-34,Woman,"Tinder,Bumble,Match,Plenty of Fish,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",Occasionally,Occasionally,6,7,6,7.0,1.0,6
147,25-34,Man,"Tinder,OKCupid,Grindr","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",Occasionally,Rarely,4,2,4,1.0,1.0,1
148,18-24,Woman,I have never used a dating app,I have never used a dating app,Never,Never,4,7,5,1.0,1.0,5
149,25-34,Man,"Tinder,Match",Entertainment,Rarely,Never,2,2,2,2.0,2.0,4
150,45-54,Woman,"Tinder,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Rarely,Never,3,6,2,2.0,1.0,6
151,25-34,Man,Grindr,"Finding short-term romantic or sexual relationships,Making friends",Occasionally,Rarely,5,6,5,2.0,2.0,5
152,45-54,Man,Match,"Finding long-term romantic or sexual relationships,Making friends",Occasionally,Occasionally,5,3,2,3.0,1.0,5
153,25-34,Man,Tinder,Finding long-term romantic or sexual relationships,Occasionally,Rarely,5,3,4,5.0,5.0,6
154,Over 55,Woman,Match,Finding long-term romantic or sexual relationships,Never,Never,2,2,2,1.0,1.0,5
155,Over 55,Man,"Tinder,Hinge,Grindr","Finding short-term romantic or sexual relationships,Making friends,Entertainment",Rarely,Occasionally,2,4,3,4.0,2.0,3
156,25-34,Man,"Tinder,Bumble,Plenty of Fish,OKCupid,Grindr","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",Rarely,Never,6,7,5,7.0,5.0,5
157,18-24,Woman,OKCupid,Finding long-term romantic or sexual relationships,Never,Never,5,3,1,1.0,1.0,1
158,18-24,Woman,"Tinder,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",Often,Occasionally,6,5,2,6.0,3.0,6
159,45-54,Woman,"Tinder,Bumble",Making friends,Rarely,Occasionally,4,5,6,3.0,6.0,6
160,25-34,Man,"Tinder,Plenty of Fish","Finding short-term romantic or sexual relationships,Making friends,Entertainment",Rarely,Rarely,3,1,2,5.0,5.0,4
161,25-34,Man,"Tinder,Bumble,Plenty of Fish,OKCupid",Finding short-term romantic or sexual relationships,Never,Never,1,2,1,1.0,1.0,1
162,35-44,Woman,"Match,Plenty of Fish",Finding long-term romantic or sexual relationships,Occasionally,Occasionally,3,4,4,5.0,4.0,5
163,25-34,Man,Tinder,"Finding short-term romantic or sexual relationships,Entertainment",Occasionally,Rarely,7,7,5,1.0,1.0,7
164,18-24,Man,"Tinder,Plenty of Fish,Hinge","Making friends,Entertainment",Rarely,Never,2,4,1,5.0,1.0,7
165,18-24,Woman,I have never used a dating app,I have never used a dating app,Never,Never,4,3,2,4.0,1.0,5
166,25-34,Woman,"Tinder,Bumble","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",Occasionally,Occasionally,6,1,6,4.0,4.0,6
167,35-44,Man,"Tinder,Bumble,Plenty of Fish,OKCupid","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends,Entertainment",Rarely,Rarely,6,3,5,2.0,2.0,2
168,25-34,Man,Clover,Making friends,Rarely,Occasionally,5,4,5,6.0,3.0,5
169,35-44,Man,Match,Finding long-term romantic or sexual relationships,Occasionally,Occasionally,3,5,3,3.0,2.0,5
170,35-44,Prefer not to disclose,I have never used a dating app,I have never used a dating app,Never,Never,3,3,3,2.0,2.0,2
171,25-34,Man,Tinder,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Rarely,Rarely,7,6,1,1.0,1.0,6
172,35-44,Man,"Tinder,Bumble,Match,Plenty of Fish","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Occasionally,Rarely,6,3,1,4.0,2.0,2
173,25-34,Man,"Tinder,OKCupid,Hinge,Grindr",Finding long-term romantic or sexual relationships,Occasionally,Rarely,2,2,1,6.0,1.0,2
174,18-24,Man,"Tinder,Match","Finding long-term romantic or sexual relationships,Making friends",Occasionally,Occasionally,7,7,7,5.0,5.0,5
175,18-24,Man,"Tinder,Bumble","Finding short-term romantic or sexual relationships,Personal validation,Entertainment",Occasionally,Occasionally,4,4,4,5.0,3.0,4
176,18-24,Man,"Tinder,Bumble,Match,Clover","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships",Often,Rarely,1,5,1,1.0,1.0,6
177,25-34,Man,"Tinder,Match,Plenty of Fish","Finding short-term romantic or sexual relationships,Making friends",Rarely,Rarely,6,6,5,6.0,3.0,6
178,25-34,Man,Tinder,Finding long-term romantic or sexual relationships,Occasionally,Rarely,2,5,1,5.0,2.0,7
179,25-34,Woman,"Tinder,Bumble,Match,Plenty of Fish,OKCupid,Hinge","Finding long-term romantic or sexual relationships,Making friends",Often,Occasionally,5,5,5,5.0,5.0,5
180,25-34,Woman,Tinder,"Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Making friends",Occasionally,Occasionally,4,3,2,6.0,6.0,6
181,25-34,Man,"Tinder,Grindr","Finding short-term romantic or sexual relationships,Making friends,Personal validation,Entertainment",Occasionally,Occasionally,5,3,4,6.0,2.0,6
182,25-34,Man,"Match,Coffee & Bagel","Finding short-term romantic or sexual relationships,Finding long-term romantic or sexual relationships,Entertainment",Rarely,Never,5,5,5,4.0,5.0,6
