,tweets,Created_at,id,userid,date,source,likes,retweets
78,"RT @Techinfoeditor: TSMC’s 3nm process A17 greatly upgraded: suppliers say Apple’s iPhone 15 Pro series will stimulate high demand

#TSMC 3…",2023-03-02 12:55:36+00:00,1631277074164924416,1185867858938650624,2023-03-02 12:55:36+00:00,SmartTaipei,0,1
79,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 12:55:06+00:00,1631276945840259072,611828353,2023-03-02 12:55:06+00:00,Twitter Web App,0,356
80,TSMC’s 3nm process A17 greatly upgraded: suppliers say Apple’s iPhone 15 Pro series will stimulate high demand… https://t.co/c5ZfKVjT0y,2023-03-02 12:53:22+00:00,1631276510220025857,1570612377636470786,2023-03-02 12:53:22+00:00,Twitter for Android,1,1
81,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 12:51:12+00:00,1631275963546841089,1292951214,2023-03-02 12:51:12+00:00,Twitter for iPhone,0,356
82,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 12:50:14+00:00,1631275723242479616,551153971,2023-03-02 12:50:14+00:00,Twitter Web App,0,356
83,"RT @WD9dr: #Amazon新生活セール2023
🉐特選タイムセール🉐

Apple iPhone 13 Pro Max (128GB) - シエラブルー SIMフリー 5G対応
https://t.co/7XCKuU4Nwc

 #pr
 #iPhone13ProMa…",2023-03-02 12:45:33+00:00,1631274544152600577,1212149919638679552,2023-03-02 12:45:33+00:00,Twitter for Android,0,1
84,"私の大したことない写真だけど、最新の機材入れないとやっぱり格好付かないなどと思ってたりする。

よし、iPhone15Proを買おう。",2023-03-02 12:40:57+00:00,1631273388110155778,3263341165,2023-03-02 12:40:57+00:00,Twitter Web App,1,0
85,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 12:22:34+00:00,1631268761721339905,1508763778288164867,2023-03-02 12:22:34+00:00,Twitter for iPhone,0,356
86,"Des twittos ont de vrais problemes 
#iphone15pro https://t.co/uBnhMqH3bM",2023-03-02 12:21:14+00:00,1631268422221692930,1273945888931688448,2023-03-02 12:21:14+00:00,Twitter Web App,2,0
87,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 12:05:39+00:00,1631264500518117380,3036163660,2023-03-02 12:05:39+00:00,Twitter for iPhone,0,356
88,"Dijual
iPhone 11 128GB Purple
Area jogja yak...

#iPhone #iphone15pro #iphone11 #Yogyakarta #jogja #jogjajualbeli… https://t.co/5eJMJIoAOg",2023-03-02 12:02:18+00:00,1631263658834800640,585457475,2023-03-02 12:02:18+00:00,Twitter for Android,0,0
89,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 12:00:39+00:00,1631263243665657860,176004460,2023-03-02 12:00:39+00:00,Twitter for iPad,0,356
90,iPhone 15 may feature a USB Type-C port; Find details #Apple #iPhone15 #iPhone15Pro #USBType-Cport https://t.co/oXnVqXerUI,2023-03-02 11:46:27+00:00,1631259671700058113,1874798778,2023-03-02 11:46:27+00:00,Hocalwire Social Share,0,0
91,"Yarr thiss is damn awesome 🤎.
#iPhone15Pro #iPhone #Iphone15 https://t.co/ACp3AyL3m2",2023-03-02 11:43:29+00:00,1631258922215432193,1350496851653484544,2023-03-02 11:43:29+00:00,Twitter for Android,9,0
92,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 11:33:25+00:00,1631256392437755904,1490356136964661249,2023-03-02 11:33:25+00:00,Twitter for Android,0,356
93,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 11:22:50+00:00,1631253728463290370,17942486,2023-03-02 11:22:50+00:00,Twitter Web App,0,356
94,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 11:22:40+00:00,1631253686260322304,1512187067262017552,2023-03-02 11:22:40+00:00,Twitter Web App,0,356
95,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 11:17:34+00:00,1631252400026578944,18553607,2023-03-02 11:17:34+00:00,Twitter for Android,0,356
96,"RT @TECKNET5: #Giveaway Hello March!
🎁Bluetooth earphones
To enter, simply #Follow &amp; #RT &amp; #Tag a friend .
🌸Good luck!🌸
End Day: 08/03/2023…",2023-03-02 11:15:36+00:00,1631251908835901443,942560894,2023-03-02 11:15:36+00:00,Twitter for iPhone,0,356
